# frequency_THz	|SZmin(2),Zmax(2)|^2
143.4	3.999999999999998e-130
143.6	3.999999999999998e-130
143.8	3.999999999999998e-130
144.0	3.9999999999999995e-130
144.075	0.0
144.2	3.999999999999998e-130
144.4	3.9999999999999995e-130
144.6	3.9999999999999995e-130
144.8	3.9999999999999995e-130
145.0	3.9999999999999995e-130
145.2	3.6099999999999986e-130
145.4	3.6099999999999986e-130
145.6	3.6099999999999986e-130
145.8	3.6099999999999986e-130
146.0	3.6099999999999986e-130
146.05	0.0
146.2	3.6099999999999986e-130
146.4	3.6099999999999986e-130
146.6	3.6099999999999986e-130
146.8	3.6099999999999986e-130
147.0	3.609999999999997e-130
147.2	3.239999999999998e-130
147.4	3.2399999999999997e-130
147.6	3.239999999999999e-130
147.8	3.239999999999999e-130
148.0	3.2399999999999997e-130
148.025	0.0
148.2	3.2400000000000005e-130
148.4	3.239999999999999e-130
148.6	3.239999999999998e-130
148.8	3.239999999999998e-130
149.0	3.239999999999998e-130
149.2	2.889999999999999e-130
149.4	2.889999999999999e-130
149.6	2.8899999999999996e-130
149.8	2.8899999999999996e-130
150.0	0.0
150.2	2.889999999999999e-130
150.4	2.889999999999999e-130
150.6	2.8899999999999996e-130
150.8	2.889999999999999e-130
151.0	2.889999999999999e-130
151.2	2.889999999999999e-130
151.4	2.559999999999999e-130
151.6	2.559999999999999e-130
151.8	2.559999999999999e-130
152.0	2.559999999999999e-130
152.2	2.559999999999999e-130
152.4	2.559999999999999e-130
152.45	0.0
152.6	2.559999999999999e-130
152.8	2.559999999999999e-130
153.0	2.559999999999999e-130
153.2	2.5600000000000004e-130
153.4	2.559999999999999e-130
153.6	2.559999999999999e-130
153.8	2.249999999999999e-130
154.0	2.25e-130
154.2	2.249999999999999e-130
154.4	2.2499999999999988e-130
154.6	2.249999999999999e-130
154.8	2.249999999999999e-130
154.9	0.0
155.0	2.249999999999999e-130
155.2	2.25e-130
155.4	2.25e-130
155.6	2.25e-130
155.8	2.249999999999999e-130
156.0	2.249999999999999e-130
156.2	1.9599999999999993e-130
156.4	1.9599999999999993e-130
156.6	1.9599999999999993e-130
156.8	1.959999999999999e-130
157.0	1.96e-130
157.2	1.9599999999999993e-130
157.35	0.0
157.4	1.9599999999999993e-130
157.6	1.9599999999999993e-130
157.8	1.9599999999999993e-130
158.0	1.96e-130
158.2	1.9599999999999993e-130
158.4	1.9599999999999993e-130
158.6	1.6899999999999996e-130
158.8	1.6899999999999996e-130
159.0	1.6899999999999996e-130
159.2	1.6900000000000006e-130
159.4	1.6900000000000002e-130
159.6	1.6899999999999996e-130
159.8	0.0
160.0	1.6899999999999996e-130
160.2	1.6899999999999996e-130
160.4	1.6899999999999996e-130
160.6	1.6900000000000002e-130
160.8	1.6899999999999996e-130
161.0	1.6899999999999996e-130
161.2	1.6899999999999996e-130
161.4	1.6899999999999996e-130
161.6	1.6899999999999996e-130
161.8	1.6899999999999996e-130
162.0	1.6899999999999996e-130
162.2	1.6899999999999996e-130
162.4	1.4399999999999996e-130
162.6	1.4399999999999996e-130
162.8	1.4399999999999996e-130
163.0	1.4399999999999996e-130
163.2	1.4400000000000002e-130
163.4	1.4400000000000002e-130
163.6	1.4400000000000002e-130
163.8	1.4400000000000002e-130
164.0	1.4400000000000002e-130
164.2	1.4400000000000002e-130
164.4	1.4400000000000002e-130
164.60000000000002	1.4399999999999992e-130
164.7	0.0
164.8	1.4399999999999992e-130
165.0	1.4399999999999996e-130
165.2	1.4399999999999996e-130
165.4	1.4399999999999996e-130
165.60000000000002	1.4399999999999992e-130
165.8	1.4399999999999996e-130
166.0	1.2100000000000002e-130
166.2	1.2100000000000002e-130
166.4	1.2099999999999998e-130
166.60000000000002	1.2100000000000002e-130
166.8	1.2100000000000002e-130
167.0	1.2099999999999992e-130
167.15	0.0
167.2	1.2099999999999998e-130
167.4	1.2099999999999998e-130
167.60000000000002	1.2099999999999998e-130
167.8	1.2099999999999992e-130
168.0	1.2099999999999998e-130
168.2	1.2099999999999998e-130
168.4	9.999999999999999e-131
168.60000000000002	9.999999999999999e-131
168.8	9.999999999999999e-131
169.0	9.999999999999999e-131
169.2	9.999999999999999e-131
169.4	1.0000000000000003e-130
169.6	0.0
169.8	8.099999999999999e-131
170.0	0.0
170.2	8.099999999999999e-131
170.4	8.099999999999999e-131
170.60000000000002	8.100000000000001e-131
170.8	8.099999999999997e-131
171.0	8.100000000000001e-131
171.2	8.099999999999997e-131
171.4	6.4e-131
171.60000000000002	6.399999999999996e-131
171.8	6.4e-131
172.0	6.399999999999996e-131
172.2	6.4e-131
172.4	6.4e-131
172.45	0.0
172.60000000000002	6.4e-131
172.8	6.4e-131
173.0	6.4e-131
173.2	6.399999999999998e-131
173.4	6.4e-131
173.60000000000002	6.399999999999998e-131
173.8	4.899999999999998e-131
174.0	4.9e-131
174.2	4.9e-131
174.4	4.9e-131
174.60000000000002	4.899999999999998e-131
174.8	4.899999999999997e-131
174.9	0.0
175.0	4.899999999999998e-131
175.2	4.899999999999998e-131
175.4	4.9e-131
175.60000000000002	4.899999999999998e-131
175.8	4.899999999999998e-131
176.0	4.9e-131
176.2	4.899999999999998e-131
176.4	3.599999999999998e-131
176.60000000000002	3.599999999999999e-131
176.8	3.599999999999999e-131
177.0	3.6000000000000004e-131
177.2	3.599999999999999e-131
177.4	3.6000000000000004e-131
177.55	0.0
177.60000000000002	3.599999999999999e-131
177.8	3.599999999999999e-131
178.0	3.6000000000000004e-131
178.2	3.599999999999999e-131
178.4	3.6000000000000004e-131
178.60000000000002	3.599999999999999e-131
178.8	3.599999999999999e-131
179.0	2.4999999999999997e-131
179.2	2.4999999999999997e-131
179.4	2.4999999999999997e-131
179.60000000000002	2.4999999999999997e-131
179.8	2.5000000000000007e-131
180.0	2.5000000000000007e-131
180.2	0.0
180.4	2.5000000000000007e-131
180.60000000000002	2.4999999999999997e-131
180.8	2.4999999999999997e-131
181.0	2.4999999999999997e-131
181.2	2.5000000000000007e-131
181.4	1.6e-131
181.60000000000002	1.6e-131
181.8	1.6e-131
182.0	1.6e-131
182.2	1.5999999999999995e-131
182.4	1.5999999999999995e-131
182.5	0.0
182.60000000000002	1.5999999999999995e-131
182.8	1.6e-131
183.0	1.6e-131
183.2	1.6e-131
183.4	1.6e-131
183.60000000000002	1.6000000000000002e-131
183.8	8.999999999999995e-132
184.0	8.999999999999997e-132
184.2	9.000000000000001e-132
184.4	8.999999999999995e-132
184.60000000000002	9.000000000000001e-132
184.8	0.0
185.0	9.000000000000001e-132
185.2	8.999999999999997e-132
185.4	9.000000000000001e-132
185.60000000000002	9.000000000000001e-132
185.8	9.000000000000001e-132
186.0	9.000000000000001e-132
186.2	8.999999999999997e-132
186.4	9.000000000000001e-132
186.60000000000002	9.000000000000001e-132
186.8	4e-132
187.0	3.999999999999999e-132
187.2	4.0000000000000006e-132
187.4	4e-132
187.60000000000002	4e-132
187.8	4e-132
188.0	4e-132
188.2	4e-132
188.4	4e-132
188.6	0.0
188.8	4e-132
189.0	4e-132
189.2	4.0000000000000006e-132
189.4	4.000000000000002e-132
189.60000000000002	1.0000000000000001e-132
189.8	1e-132
190.0	1e-132
190.2	9.999999999999997e-133
190.4	1e-132
190.5	0.0
190.60000000000002	1e-132
190.8	1e-132
191.0	9.999999999999997e-133
191.2	1e-132
191.4	1e-132
191.60000000000002	0.0
191.8	0.0
192.0	0.0
192.2	0.0
192.4	0.0
192.60000000000002	0.0
192.8	0.0
193.0	0.0
193.2	0.0
193.4	0.0
193.60000000000002	0.0
193.8	0.0
194.0	0.0
194.2	0.0
194.4	1e-132
194.60000000000002	9.999999999999997e-133
194.8	1.0000000000000005e-132
195.0	1e-132
195.2	1e-132
195.4	9.999999999999997e-133
195.60000000000002	1.0000000000000001e-132
195.8	1e-132
196.0	1e-132
196.2	0.0
196.4	1e-132
196.60000000000002	1e-132
196.8	9.999999999999997e-133
197.0	1e-132
197.2	4e-132
197.4	4.0000000000000006e-132
197.60000000000002	3.999999999999999e-132
197.8	4e-132
198.0	4e-132
198.1	0.0
198.2	4e-132
198.4	4e-132
198.60000000000002	4e-132
198.8	3.999999999999999e-132
199.0	4e-132
199.2	9.000000000000001e-132
199.4	9.000000000000001e-132
199.60000000000002	8.999999999999997e-132
199.8	9.000000000000001e-132
200.0	0.0
200.2	8.999999999999997e-132
200.4	8.999999999999997e-132
200.60000000000002	9.000000000000001e-132
200.8	9.000000000000001e-132
201.0	9.000000000000001e-132
201.2	9.000000000000001e-132
201.4	8.999999999999997e-132
201.60000000000002	1.6e-131
201.8	1.6e-131
202.0	1.6000000000000002e-131
202.2	1.6e-131
202.4	1.6e-131
202.60000000000002	1.6000000000000002e-131
202.8	1.6e-131
202.85	0.0
203.0	1.6e-131
203.2	1.6e-131
203.4	1.6e-131
203.60000000000002	1.6e-131
203.8	1.5999999999999995e-131
204.0	1.6e-131
204.2	1.6e-131
204.4	2.4999999999999997e-131
204.60000000000002	2.4999999999999997e-131
204.8	2.4999999999999997e-131
205.0	2.4999999999999997e-131
205.2	2.4999999999999997e-131
205.4	2.4999999999999997e-131
205.60000000000002	2.4999999999999997e-131
205.7	0.0
205.8	2.4999999999999997e-131
206.0	2.4999999999999997e-131
206.2	2.4999999999999997e-131
206.4	2.5000000000000007e-131
206.60000000000002	2.5000000000000007e-131
206.8	2.4999999999999997e-131
207.0	2.5000000000000007e-131
207.2	3.599999999999999e-131
207.4	3.6000000000000004e-131
207.60000000000002	3.6000000000000004e-131
207.8	3.599999999999999e-131
208.0	3.6000000000000004e-131
208.2	3.6000000000000004e-131
208.4	3.6000000000000004e-131
208.55	0.0
208.60000000000002	3.6000000000000004e-131
208.8	3.6000000000000004e-131
209.0	3.6000000000000004e-131
209.2	3.6000000000000004e-131
209.4	3.6000000000000004e-131
209.60000000000002	3.599999999999999e-131
209.8	3.599999999999999e-131
210.0	4.9e-131
210.2	4.9e-131
210.4	4.9e-131
210.60000000000002	4.899999999999998e-131
210.8	4.9e-131
211.0	4.9e-131
211.2	4.9e-131
211.4	0.0
211.60000000000002	4.9e-131
211.8	4.899999999999998e-131
212.0	4.899999999999998e-131
212.2	4.9e-131
212.4	4.899999999999998e-131
212.60000000000002	4.9e-131
212.8	4.9e-131
213.0	4.9e-131
213.2	6.399999999999998e-131
213.4	6.399999999999998e-131
213.60000000000002	6.400000000000001e-131
213.8	6.4e-131
214.0	6.399999999999998e-131
214.2	6.4e-131
214.4	6.4e-131
214.60000000000002	6.399999999999998e-131
214.8	0.0
215.0	6.399999999999998e-131
215.2	6.400000000000001e-131
215.4	6.399999999999998e-131
215.60000000000002	6.400000000000001e-131
215.8	6.399999999999998e-131
216.0	6.4e-131
216.2	6.400000000000003e-131
216.4	6.4e-131
216.60000000000002	8.099999999999999e-131
216.8	8.099999999999997e-131
217.0	8.099999999999999e-131
217.2	8.100000000000001e-131
217.4	8.100000000000003e-131
217.60000000000002	8.099999999999997e-131
217.8	8.099999999999999e-131
218.0	8.099999999999999e-131
218.2	0.0
218.4	8.099999999999999e-131
218.60000000000002	8.099999999999999e-131
218.8	8.099999999999999e-131
219.0	8.099999999999999e-131
219.2	8.099999999999997e-131
219.4	8.099999999999997e-131
219.60000000000002	8.099999999999999e-131
219.8	8.099999999999999e-131
220.0	9.999999999999999e-131
220.2	9.999999999999999e-131
220.4	9.999999999999999e-131
220.60000000000002	9.999999999999999e-131
220.8	9.999999999999999e-131
221.0	9.999999999999999e-131
221.2	9.999999999999999e-131
221.4	9.999999999999999e-131
221.6	0.0
221.8	1.0000000000000003e-130
222.0	9.999999999999999e-131
222.2	9.999999999999999e-131
222.4	9.999999999999999e-131
222.60000000000002	9.999999999999999e-131
222.8	9.999999999999999e-131
223.0	9.999999999999999e-131
223.2	9.999999999999999e-131
223.4	1.2099999999999998e-130
223.60000000000002	1.2099999999999998e-130
223.8	1.2099999999999998e-130
224.0	1.2099999999999998e-130
224.2	1.2099999999999998e-130
224.4	1.2099999999999998e-130
224.60000000000002	1.2099999999999998e-130
224.8	1.2099999999999998e-130
225.0	0.0
225.2	1.2099999999999998e-130
225.4	1.2099999999999998e-130
225.60000000000002	1.2099999999999998e-130
225.8	1.2099999999999998e-130
226.0	1.2099999999999998e-130
226.2	1.2099999999999998e-130
226.4	1.2099999999999998e-130
226.60000000000002	1.4399999999999996e-130
226.8	1.4399999999999996e-130
227.0	1.4399999999999996e-130
